service_type,pickup_day_of_week_num,pickup_day_name,pickup_hour,time_of_day_bucket,trip_count,avg_fare_amount,avg_total_amount,avg_tip_percentage,avg_revenue_per_mile,avg_trip_distance,avg_trip_duration_minutes,fare_index,total_amount_index,fare_pattern_bucket
green,0,Sunday,0,night,1983,22.26,28.99,15.66,16.75,3.57,20.79,124.14,115.01,high
green,0,Sunday,1,night,1571,24.43,31.41,16.01,16.53,3.7,25.44,136.24,124.61,high
green,0,Sunday,2,night,1223,29.46,36.78,14.07,31.14,4.35,31.49,164.29,145.91,high
green,0,Sunday,3,night,1106,32.45,39.72,13.49,26.2,4.37,31.62,180.96,157.58,high
green,0,Sunday,4,night,899,37.15,44.47,11.7,29.15,4.83,23.11,207.17,176.42,high
green,0,Sunday,5,morning,577,36.03,43.91,12.14,26.28,5.14,22.82,200.93,174.2,high
green,0,Sunday,6,morning,773,26.97,34.24,12.28,13.07,29.19,27.51,150.4,135.84,high
green,0,Sunday,7,morning,1379,27.59,35.04,12.4,11.37,5.93,50.4,153.86,139.01,high
green,0,Sunday,8,morning,1689,22.5,31.22,12.79,12.09,28.19,27.63,125.48,123.86,high
green,0,Sunday,9,morning,2530,19.83,28.12,12.05,11.58,53.37,24.35,110.59,111.56,above_average
green,0,Sunday,10,morning,2810,16.67,23.96,17.06,10.22,4.94,21.72,92.96,95.05,below_average
green,0,Sunday,11,morning,3223,17.31,23.71,15.84,13.45,9.46,21.57,96.53,94.06,average
green,0,Sunday,12,afternoon,3996,16.52,23.14,15.96,10.71,40.21,21.28,92.13,91.8,below_average
green,0,Sunday,13,afternoon,4012,16.85,23.46,15.48,12.34,4.29,20.51,93.97,93.07,below_average
green,0,Sunday,14,afternoon,4532,17.78,24.27,16.06,11.1,3.27,18.7,99.15,96.28,average
green,0,Sunday,15,afternoon,4568,17.53,23.85,16.4,13.61,13.88,20.26,97.76,94.62,average
green,0,Sunday,16,afternoon,4747,18.13,24.35,16.73,11.01,20.5,20.22,101.11,96.6,average
green,0,Sunday,17,evening,4621,17.66,23.92,17.3,11.58,3.1,20.46,98.48,94.9,average
green,0,Sunday,18,evening,4793,16.97,23.01,17.51,11.5,2.93,15.6,94.64,91.29,below_average
green,0,Sunday,19,evening,3928,17.18,23.03,17.06,11.14,3.02,19.15,95.81,91.37,average
green,0,Sunday,20,evening,3311,18.04,24.86,17.61,15.46,6.59,18.5,100.6,98.63,average
green,0,Sunday,21,evening,2766,19.23,26.12,17.29,12.57,3.38,20.76,107.24,103.62,above_average
green,0,Sunday,22,night,2188,21.42,28.58,16.85,18.52,3.66,18.64,119.45,113.38,above_average
green,0,Sunday,23,night,1527,20.87,27.3,16.55,14.63,76.64,17.55,116.39,108.31,above_average
green,1,Monday,0,night,839,21.23,27.35,15.08,27.11,3.81,18.47,118.39,108.5,above_average
green,1,Monday,1,night,437,20.14,25.41,12.96,13.56,3.63,12.06,112.31,100.81,above_average
green,1,Monday,2,night,285,22.81,27.77,9.27,15.05,4.1,18.72,127.2,110.17,high
green,1,Monday,3,night,194,20.83,26.27,10.82,23.15,3.88,31.5,116.16,104.22,above_average
green,1,Monday,4,night,272,21.17,31.56,6.87,78.88,5.49,31.13,118.06,125.21,above_average
green,1,Monday,5,morning,562,19.29,29.46,10.81,10.79,158.09,23.99,107.57,116.87,above_average
green,1,Monday,6,morning,1834,15.94,23.63,14.13,10.03,40.42,23.28,88.89,93.75,below_average
green,1,Monday,7,morning,3801,15.87,23.35,15.51,9.74,16.28,25.48,88.5,92.63,below_average
green,1,Monday,8,morning,4968,16.88,24.2,15.84,10.86,46.81,20.84,94.13,96.01,below_average
green,1,Monday,9,morning,5002,16.88,24.16,15.34,13.78,15.65,22.18,94.13,95.85,below_average
green,1,Monday,10,morning,4674,16.82,24.26,15.16,12.19,44.54,25.47,93.8,96.24,below_average
green,1,Monday,11,morning,4279,17.83,25.38,14.67,10.47,28.8,26.55,99.43,100.69,average
green,1,Monday,12,afternoon,4643,17.67,25.09,14.52,12.41,22.46,23.08,98.54,99.54,average
green,1,Monday,13,afternoon,4695,16.96,23.97,13.94,12.72,13.02,23.97,94.58,95.09,below_average
green,1,Monday,14,afternoon,5237,17.21,24.13,14.3,13.1,3.2,21.87,95.98,95.73,average
green,1,Monday,15,afternoon,5552,17.65,24.3,14.65,11.44,15.76,19.66,98.43,96.4,average
green,1,Monday,16,afternoon,6228,16.55,25.42,16.87,13.85,20.19,19.64,92.29,100.85,below_average
green,1,Monday,17,evening,6701,15.97,24.48,18.45,13.37,50.74,19.39,89.06,97.12,below_average
green,1,Monday,18,evening,6055,15.56,23.78,19.24,12.17,6.98,17.36,86.77,94.34,below_average
green,1,Monday,19,evening,4715,15.02,22.85,19.02,12.32,12.61,16.39,83.76,90.65,below_average
green,1,Monday,20,evening,3360,16.33,22.92,18.04,11.87,2.89,15.76,91.07,90.93,below_average
green,1,Monday,21,evening,2718,20.18,27.12,17.9,11.53,5.61,17.34,112.54,107.59,above_average
green,1,Monday,22,night,2113,21.95,28.88,17.35,16.01,3.76,22.78,122.41,114.57,high
green,1,Monday,23,night,1329,19.66,26.43,15.36,14.86,3.77,21.52,109.64,104.85,above_average
green,2,Tuesday,0,night,766,20.17,26.13,14.69,15.18,3.86,22.42,112.48,103.66,above_average
green,2,Tuesday,1,night,414,17.83,22.64,10.71,43.05,3.34,17.92,99.43,89.82,average
green,2,Tuesday,2,night,231,19.92,25.24,11.28,15.0,3.97,12.73,111.09,100.13,above_average
green,2,Tuesday,3,night,149,19.51,26.06,11.73,14.91,4.3,13.43,108.8,103.39,above_average
green,2,Tuesday,4,night,216,17.95,28.6,7.97,17.22,154.11,16.76,100.1,113.46,average
green,2,Tuesday,5,morning,492,17.13,27.96,10.41,8.1,5.17,19.16,95.53,110.92,average
green,2,Tuesday,6,morning,1822,16.28,24.51,14.41,8.68,4.17,21.47,90.79,97.24,below_average
green,2,Tuesday,7,morning,4041,15.68,22.64,15.1,9.98,90.82,27.29,87.44,89.82,below_average
green,2,Tuesday,8,morning,5300,16.74,23.9,15.43,11.73,42.25,20.51,93.35,94.82,below_average
green,2,Tuesday,9,morning,5371,16.98,24.23,15.51,10.46,31.22,25.09,94.69,96.13,below_average
green,2,Tuesday,10,morning,4966,17.26,24.6,15.39,12.21,10.54,27.31,96.25,97.59,average
green,2,Tuesday,11,morning,4701,18.25,25.81,14.61,12.15,23.8,29.03,101.77,102.39,average
green,2,Tuesday,12,afternoon,4823,17.71,24.91,13.94,12.75,21.39,20.58,98.76,98.82,average
green,2,Tuesday,13,afternoon,4735,17.56,24.49,13.56,11.05,25.66,22.21,97.93,97.16,average
green,2,Tuesday,14,afternoon,5137,17.79,24.7,14.35,13.87,11.4,23.96,99.21,97.99,average
green,2,Tuesday,15,afternoon,5656,17.21,23.93,14.78,12.85,12.53,21.61,95.98,94.94,average
green,2,Tuesday,16,afternoon,6291,16.9,25.63,17.4,16.55,20.5,21.89,94.25,101.68,below_average
green,2,Tuesday,17,evening,6961,16.15,24.77,18.55,15.36,6.96,19.25,90.06,98.27,below_average
green,2,Tuesday,18,evening,6530,16.03,24.28,19.3,17.22,7.31,16.96,89.39,96.32,below_average
green,2,Tuesday,19,evening,4881,15.2,23.16,19.57,14.72,2.63,16.34,84.77,91.88,below_average
green,2,Tuesday,20,evening,3606,16.99,23.87,18.81,14.96,8.26,16.69,94.75,94.7,below_average
green,2,Tuesday,21,evening,3050,21.78,29.23,18.42,12.64,4.49,20.56,121.46,115.96,high
green,2,Tuesday,22,night,2508,24.89,32.25,16.82,21.09,4.07,18.3,138.8,127.94,high
green,2,Tuesday,23,night,1587,21.94,28.6,16.68,36.15,3.87,23.1,122.35,113.46,high
green,3,Wednesday,0,night,919,20.79,27.15,15.31,24.45,3.79,19.05,115.94,107.71,above_average
green,3,Wednesday,1,night,549,19.68,25.49,13.95,24.52,3.76,17.59,109.75,101.12,above_average
green,3,Wednesday,2,night,280,16.67,21.76,14.14,12.12,2.8,11.33,92.96,86.33,below_average
green,3,Wednesday,3,night,183,19.93,25.08,9.95,15.22,3.77,12.77,111.14,99.5,above_average
green,3,Wednesday,4,night,210,17.97,30.21,11.39,8.14,5.88,29.77,100.21,119.85,average
green,3,Wednesday,5,morning,507,18.57,29.42,12.97,9.32,5.37,16.42,103.56,116.72,average
green,3,Wednesday,6,morning,1816,16.12,23.66,14.42,9.23,3.85,22.36,89.9,93.86,below_average
green,3,Wednesday,7,morning,3977,15.74,22.61,14.97,10.64,88.52,24.67,87.78,89.7,below_average
green,3,Wednesday,8,morning,5407,16.54,23.42,16.17,12.27,40.33,20.9,92.24,92.91,below_average
green,3,Wednesday,9,morning,5228,16.9,24.19,15.81,10.93,24.5,23.64,94.25,95.97,below_average
green,3,Wednesday,10,morning,5039,17.63,25.07,15.68,13.21,38.43,23.19,98.32,99.46,average
green,3,Wednesday,11,morning,4849,18.35,25.72,14.93,11.65,27.78,23.31,102.33,102.04,average
green,3,Wednesday,12,afternoon,4895,17.41,24.54,14.41,11.24,3.24,24.57,97.09,97.36,average
green,3,Wednesday,13,afternoon,4938,17.37,24.47,13.8,11.0,18.04,25.3,96.87,97.08,average
green,3,Wednesday,14,afternoon,5351,17.92,24.93,14.48,12.28,17.03,24.41,99.93,98.9,average
green,3,Wednesday,15,afternoon,6079,17.49,24.21,14.53,13.17,20.16,24.41,97.54,96.05,average
green,3,Wednesday,16,afternoon,6827,17.15,26.18,17.1,13.63,24.39,22.59,95.64,103.86,average
green,3,Wednesday,17,evening,7451,16.54,25.35,18.62,14.23,7.28,20.06,92.24,100.57,below_average
green,3,Wednesday,18,evening,6895,15.82,24.05,19.13,14.6,5.6,17.35,88.22,95.41,below_average
green,3,Wednesday,19,evening,5301,15.64,23.59,19.39,14.75,24.39,16.83,87.22,93.59,below_average
green,3,Wednesday,20,evening,3930,16.91,23.52,18.59,12.97,3.08,18.05,94.3,93.31,below_average
green,3,Wednesday,21,evening,3316,21.24,28.59,19.32,15.85,3.67,18.27,118.45,113.42,above_average
green,3,Wednesday,22,night,2693,23.94,31.47,18.08,20.67,3.91,23.21,133.51,124.85,high
green,3,Wednesday,23,night,1969,22.21,28.87,16.24,25.93,5.51,18.29,123.86,114.53,high
green,4,Thursday,0,night,1035,21.89,28.39,16.14,24.76,4.0,17.07,122.07,112.63,high
green,4,Thursday,1,night,468,18.6,23.51,12.36,23.4,3.57,14.67,103.73,93.27,average
green,4,Thursday,2,night,268,19.96,24.73,12.89,19.92,3.99,18.12,111.31,98.11,above_average
green,4,Thursday,3,night,150,17.45,23.29,9.39,27.75,3.87,23.3,97.31,92.4,average
green,4,Thursday,4,night,224,21.11,32.73,8.52,11.41,6.43,17.88,117.72,129.85,above_average
green,4,Thursday,5,morning,483,20.68,31.19,11.73,8.24,46.28,16.53,115.33,123.74,above_average
green,4,Thursday,6,morning,1686,16.11,23.36,14.83,8.65,14.84,19.1,89.84,92.67,below_average
green,4,Thursday,7,morning,4000,15.99,22.82,15.24,10.27,16.3,22.12,89.17,90.53,below_average
green,4,Thursday,8,morning,5133,16.87,23.86,15.91,11.7,45.55,24.13,94.08,94.66,below_average
green,4,Thursday,9,morning,5114,16.76,23.8,15.88,11.18,14.43,24.04,93.47,94.42,below_average
green,4,Thursday,10,morning,4846,17.21,24.46,14.72,12.06,18.41,27.85,95.98,97.04,average
green,4,Thursday,11,morning,4675,18.16,25.72,14.59,11.63,35.2,27.36,101.27,102.04,average
green,4,Thursday,12,afternoon,4936,17.94,25.37,14.77,13.77,60.62,24.29,100.05,100.65,average
green,4,Thursday,13,afternoon,4984,17.25,24.42,15.42,17.32,43.0,23.65,96.2,96.88,average
green,4,Thursday,14,afternoon,5403,18.02,24.84,14.11,13.25,20.1,22.2,100.49,98.55,average
green,4,Thursday,15,afternoon,6157,17.79,24.64,14.82,13.52,26.79,21.2,99.21,97.75,average
green,4,Thursday,16,afternoon,6794,17.67,26.64,17.22,14.5,2.98,21.3,98.54,105.69,average
green,4,Thursday,17,evening,7668,16.7,25.54,19.25,20.28,7.74,19.56,93.13,101.32,below_average
green,4,Thursday,18,evening,7069,16.26,24.63,18.54,16.11,12.23,18.43,90.68,97.71,below_average
green,4,Thursday,19,evening,5275,15.66,23.65,19.11,15.0,2.67,16.96,87.33,93.82,below_average
green,4,Thursday,20,evening,3927,16.66,23.26,18.08,15.4,13.56,16.21,92.91,92.28,below_average
green,4,Thursday,21,evening,3349,19.31,26.13,17.83,14.38,3.3,17.58,107.69,103.66,above_average
green,4,Thursday,22,night,2886,22.31,29.48,17.35,15.65,3.62,18.66,124.42,116.95,high
green,4,Thursday,23,night,2143,21.54,28.14,16.49,15.31,3.6,19.52,120.12,111.64,high
green,5,Friday,0,night,1180,22.07,28.18,17.2,15.2,3.9,26.33,123.08,111.8,high
green,5,Friday,1,night,733,22.53,28.35,13.5,31.88,3.89,19.56,125.64,112.47,high
green,5,Friday,2,night,408,22.24,27.98,13.34,25.28,3.95,16.41,124.03,111.0,high
green,5,Friday,3,night,252,20.55,26.69,11.84,16.54,4.13,24.98,114.6,105.89,above_average
green,5,Friday,4,night,244,19.38,29.81,9.2,12.81,5.65,16.06,108.08,118.26,above_average
green,5,Friday,5,morning,555,18.9,28.58,11.94,9.29,130.53,15.01,105.4,113.38,above_average
green,5,Friday,6,morning,1607,16.88,24.27,14.51,9.57,6.4,22.52,94.13,96.28,below_average
green,5,Friday,7,morning,3627,16.19,23.04,15.47,10.75,95.52,20.25,90.29,91.4,below_average
green,5,Friday,8,morning,4340,16.65,23.77,16.04,12.59,50.15,24.08,92.85,94.3,below_average
green,5,Friday,9,morning,4206,17.56,24.78,15.64,13.49,95.67,25.9,97.93,98.31,average
green,5,Friday,10,morning,4343,17.66,25.17,15.3,11.63,40.86,24.65,98.48,99.86,average
green,5,Friday,11,morning,4159,18.04,25.37,14.46,10.84,3.42,27.66,100.6,100.65,average
green,5,Friday,12,afternoon,4179,17.38,24.56,13.86,11.02,60.03,24.5,96.92,97.44,average
green,5,Friday,13,afternoon,4325,17.23,24.02,13.94,12.4,17.18,21.9,96.09,95.29,average
green,5,Friday,14,afternoon,5235,17.87,24.41,14.12,11.57,15.43,27.28,99.66,96.84,average
green,5,Friday,15,afternoon,5843,17.64,24.02,14.66,13.5,18.57,22.79,98.37,95.29,average
green,5,Friday,16,afternoon,6491,16.81,25.46,16.87,15.11,2.84,19.32,93.74,101.01,below_average
green,5,Friday,17,evening,6959,16.85,25.57,18.0,16.61,2.81,19.01,93.97,101.44,below_average
green,5,Friday,18,evening,6492,16.4,24.71,18.26,17.23,2.73,19.44,91.46,98.03,below_average
green,5,Friday,19,evening,5033,16.48,24.38,18.2,14.88,2.76,16.89,91.9,96.72,below_average
green,5,Friday,20,evening,3698,17.14,23.72,17.76,13.92,45.0,18.17,95.58,94.1,average
green,5,Friday,21,evening,3401,21.04,28.04,16.97,15.69,3.58,21.18,117.33,111.24,above_average
green,5,Friday,22,night,3192,24.25,31.56,16.98,16.86,3.96,24.86,135.24,125.21,high
green,5,Friday,23,night,2728,21.99,29.35,17.05,18.57,15.84,20.19,122.63,116.44,high
green,6,Saturday,0,night,1838,23.61,30.54,16.24,30.11,3.85,22.16,131.67,121.16,high
green,6,Saturday,1,night,1461,22.42,28.95,16.42,18.54,3.54,22.92,125.03,114.85,high
green,6,Saturday,2,night,1170,28.44,35.22,14.83,16.75,4.2,25.27,158.6,139.73,high
green,6,Saturday,3,night,963,30.1,36.84,13.26,27.45,4.23,17.12,167.86,146.15,high
green,6,Saturday,4,night,780,32.8,39.95,11.97,19.24,4.49,31.61,182.92,158.49,high
green,6,Saturday,5,morning,490,33.59,40.89,9.64,31.33,5.4,18.18,187.32,162.22,high
green,6,Saturday,6,morning,655,22.34,29.04,11.33,28.4,29.05,23.82,124.58,115.21,high
green,6,Saturday,7,morning,1188,20.94,27.49,14.12,10.82,4.84,36.23,116.78,109.06,above_average
green,6,Saturday,8,morning,1584,19.04,26.36,16.33,11.19,4.03,22.64,106.18,104.58,above_average
green,6,Saturday,9,morning,2432,18.26,25.25,15.53,51.81,27.06,24.83,101.83,100.17,average
green,6,Saturday,10,morning,3035,17.1,23.91,16.17,14.54,3.32,26.99,95.36,94.86,average
green,6,Saturday,11,morning,3640,16.95,23.58,15.58,11.68,3.73,33.58,94.53,93.55,below_average
green,6,Saturday,12,afternoon,4148,16.99,23.46,14.84,12.05,39.83,21.66,94.75,93.07,below_average
green,6,Saturday,13,afternoon,4224,17.09,23.15,15.03,11.28,60.14,21.3,95.31,91.84,average
green,6,Saturday,14,afternoon,4467,17.99,24.05,15.18,10.89,27.17,22.4,100.33,95.41,average
green,6,Saturday,15,afternoon,4717,17.72,23.61,15.0,11.08,3.03,20.75,98.82,93.67,average
green,6,Saturday,16,afternoon,4909,17.78,23.82,15.5,11.92,26.51,20.53,99.15,94.5,average
green,6,Saturday,17,evening,4735,17.98,24.07,15.64,13.15,21.59,23.63,100.27,95.49,average
green,6,Saturday,18,evening,4738,17.85,23.79,15.62,13.37,9.01,18.04,99.54,94.38,average
green,6,Saturday,19,evening,4166,18.57,24.29,16.95,15.03,3.05,20.47,103.56,96.36,average
green,6,Saturday,20,evening,3625,18.25,24.98,16.69,14.63,21.02,17.98,101.77,99.1,average
green,6,Saturday,21,evening,3284,20.29,27.0,16.31,15.07,26.18,19.99,113.15,107.12,above_average
green,6,Saturday,22,night,3082,23.09,30.39,16.26,18.08,45.43,20.19,128.77,120.56,high
green,6,Saturday,23,night,2830,22.51,29.42,16.25,17.69,26.09,21.76,125.53,116.72,high
yellow,0,Sunday,0,night,384823,19.4,26.85,13.5,13.87,4.84,15.04,96.92,93.11,average
